English,Chinese
vhs,录像带
anglo-saxon,盎格鲁撒克逊人
santini,桑蒂尼
tatum,塔图姆
unconsciously,不知不觉
ummm,嗯
geraldo,杰拉尔多
pt,点
updating,更新中
grotto,石窟
dams,水坝
hahn,哈恩
unscrupulous,不择手段的
bryn,布林
vick,维克
eleventh,第十一
crises,危机
resembling,类似
electrodes,电极
payload,有效负载
picnics,野餐
loathsome,令人厌恶的
darnley,达恩利
singsongy,辛松吉
ruffian,痞子
goulash,炖牛肉
dov,多夫
do.,做。
obi-wan,奥比万
tartar,鞑靼
sunburn,晒斑
littered,散落的
saying-,说——
supplemental,补充的
drop-off,下车
lawton,劳顿
disruptive,破坏性的
killjoy,扫兴
short-lived,短暂的
knock-knock,敲敲
hourglass,滴漏
second-rate,二流的
pasty,糊状的
turnaround,回转
carte,点菜
franc,法郎
meteorites,陨石
blackpool,布莱克浦
brainy,聪明的
haruko,晴子
suze,苏泽
grappling,擒拿
patrik,帕特里克
misfits,格格不入
mover,搬运工
molesting,猥亵
downton,唐顿庄园
strumming,弹奏
blur4,模糊4
hater,仇恨者
mobilized,动员起来
bung,塞子
brain-dead,脑死亡
solitaire,纸牌
barbados,巴巴多斯
hummus,鹰嘴豆泥
he--he,他--他
vips,贵宾
resorts,度假村
maniacal,疯狂的
chaney,钱尼
solange,索兰热
drivel,胡言乱语
rodgers,罗杰斯
microfilm,缩微胶卷
combs,梳子
memos,备忘录
looney,卢尼
batgirl,蝙蝠女
mariah,玛丽亚
squint,眯
honky,乡巴佬
tyrannosaurus,霸王龙
sediment,沉淀
brava,布拉瓦
coincide,重合
voltaire,伏尔泰
apparel,服饰
mockingly,嘲弄地
please.,请。
lia,利亚
gawd,天啊
ordnance,军械
gatherings,聚会
ged,盖德
ponce,庞塞
sapiens,智人
old-time,旧时光
jaclyn,贾克琳
one-off,一次性的
amputation,截肢
bustle,忙碌
jockeys,骑师
toru,彻
golem,傀儡
sandstorm,沙暴
cloaked,披着斗篷的
squander,挥霍
setsuko,节子
proudest,最自豪的
yanking,猛拉
regimen,养生法
after-school,放学后
deluca,德卢卡
khalil,卡里尔
or-or,或或
vickie,维姬
exhibited,展出的
constituency,选区
plagues,瘟疫
hitchhiking,搭便车
gouge,挖出
stigma,柱头
storytelling,评书
otters,水獭
ove,奥维
pooper,拉屎的
toasting,敬酒
purification,纯化
despises,鄙视
positioning,定位
lashed,鞭打
blinked,眨眼
francoise,弗朗索瓦丝
extracting,提取
flavours,口味
creators,创造者
destinies,命运
xiu,秀
spector,斯佩克特
huntley,亨特利
lynda,琳达
genji,源氏
uniting,团结
legislature,立法机关
bloomed,开花了
strenuous,费力的
blakely,布莱克利
masterpieces,杰作
squishy,软软的
lows,低点
afro,非洲式
liven,活跃
orgies,狂欢
babette,巴贝特
outdone,不甘示弱
nintendo,任天堂
curiously,好奇地
matthias,马蒂亚斯
saab,萨博
pantyhose,连裤袜
stavros,斯塔夫罗斯
warns,警告
interactions,互动
biologically,生物学上
fresher,新鲜的
wasteful,浪费的
double-crossing,双重交叉
centipede,蜈
banger,香肠
balki,巴尔基
stickler,斯蒂克勒
arya,艾莉亚
perpetrated,犯下的
computerized,计算机化的
ulcers,溃疡
vickers,维克斯
caspar,卡斯帕
kasper,卡斯帕
scavengers,拾荒者
bugsy,巴格西
working-class,工人阶级
two-year,两年
bitchin,婊子
semper,森佩尔
kaya,卡亚
moronic,愚蠢的
humbug,骗人的
overbearing,霸道
rosenberg,罗森伯格
cheapskate,小气鬼
toupee,假发
structured,结构化的
sakamoto,坂本
kaz,卡兹
ovation,鼓掌
plunger,柱塞
visor,遮阳板
kowloon,九龙
tongs,钳
rancher,牧场主
sportsman,运动员
patriarch,族长
null,无效的
blueberries,蓝莓
ve-,ve-
frisco,弗里斯科
cartons,纸箱
exceeds,超过
daedalus,代达罗斯
feudal,封建
arses,驴子
paradigm,范例
guerrero,格雷罗
edema,浮肿
chutney,酸辣酱
guten,古腾
deo,德奥
recollect,追忆
proletariat,无产阶级
kaboom,卡布姆
interrogations,审讯
scuffle,混战
you`ve,你已经
henchman,追随者
rasmus,拉斯穆斯
molest,骚扰
tootsie,嘟嘟
thayer,塞耶尔
yolk,蛋黄
hisself,他自己
explicitly,明确地
arterial,动脉
methodical,有条理的
saver,储蓄者
launder,洗
spaz,斯帕兹
undertaken,进行
hummingbird,蜂鸟
intestinal,肠
everything-,一切-
horsey,马的
prowling,潜行
givens,吉文斯
douse,浇灭
ooze,软泥
dupree,杜普雷
riggins,里金斯
beehive,蜂窝
elroy,埃尔罗伊
chechnya,车臣
luring,引诱
gazebo,凉亭
gatsby,盖茨比
angelus,三钟经
mathews,马修斯
wretches,可怜虫
spotter,观察员
nine-year-old,九岁
petersen,彼得森
nautilus,鹦鹉螺
recluse,隐士
mortis,尸体
covet,贪图
pringle,普林格尔
ranchers,牧场主
finite,有限
tonto,通托
angola,安哥拉
platypus,鸭嘴兽
veronika,维罗妮卡
waging,打工
skyline,天际线
desdemona,苔丝狄蒙娜
copernicus,哥白尼
kiyoshi,清
amazons,亚马逊
marys,玛丽斯
w-well,W-井
ric,瑞克
bearable,可以承受的
travesty,嘲讽
frontiers,边境
refuel,加油
korra,科拉
monogamous,一夫一妻制
lull,麻痹
remnant,剩
nascar,纳斯卡
smirk,傻笑
routed,路由的
omer,奥马尔
haas,哈斯
affiliated,附属
tush,吐什
laughingstock,笑柄
uns,联合国
commodities,商品
smithsonian,史密森学会
blockage,阻塞
ventriloquist,口技表演者
yams,山药
beaucoup,博库普
analysed,分析过的
good-byes,再见
seeming,看起来
dumont,杜蒙
mayans,玛雅人
coasters,杯垫
landscaping,园林绿化
pleasurable,愉快的
sandrine,桑德琳
navajo,纳瓦霍语
unknowingly,不知不觉地
exercised,行使
quotation,引述
hercule,大力神
stalks,茎
embalming,防腐处理
bunkers,掩体
supplements,补品
politeness,礼貌
consisted,包括
doings,行为
revolve,围绕
unfounded,毫无根据的
torrance,托伦斯
astor,阿斯特
if-if,如果-如果
visiontext,视觉文本
winking,眨眼
hinting,暗示
scylla,青蟹
johansson,约翰逊
uncalled,未召唤的
screenwriter,编剧
reimburse,补偿
ugo,乌戈
woodhouse,伍德豪斯
christened,受洗礼
rsvp,敬请回复
father-son,父子
cannae,坎尼
virile,阳刚的
hol,霍尔
role-playing,角色扮演
hankmed,汉克梅德
motivational,励志的
spotty,参差不齐的
patching,修补
never-,绝不-
tranquilizers,镇定剂
mork,莫克
extort,勒索
nominations,提名
celebratory,庆祝的
crud,粗品
puta,普塔
pate,头部
mercilessly,无情地
battering,殴打
insignia,徽章
demeaning,贬低
raider,袭击者
jangling,江陵
hipster,潮人
reels,卷轴
upto,高达
triangles,三角形
individuality,个性
debauchery,放荡
cecily,塞西莉
plucking,采摘
moritz,莫里茨
two-time,两次
loin,腰部
identifies,识别
phineas,菲尼亚斯
macabre,令人毛骨悚然
hurled,投掷
varnish,漆
cosmopolitan,国际化的
wack,怪人
pino,皮诺
surly,乖戾的
obtaining,获得
riffraff,痞子
compost,堆肥
toured,游览过的
gook,古克
cross-reference,交叉引用
halle,哈勒
toxie,毒素
anklet,脚链
hoskins,霍斯金斯
expressive,富有表现力的
singled,单挑
zé,则
employing,雇用
migrate,迁移
sass,萨斯
validation,验证
broaden,扩大
mortars,迫击炮
first-time,第一次
yields,产量
chimneys,烟囱
gonorrhea,淋病
buzzers,蜂鸣器
paprika,辣椒
sharif,谢里夫
adjutant,副官
furlough,休假
nefarious,邪恶
overpower,压倒
flogged,鞭打
shakti,沙克蒂
i.t.,它。
hibernation,冬眠
piston,活塞
adventurers,冒险家
swabs,拭子
build-up,积聚
rioting,骚乱
demetrius,德米特里厄斯
cannibalism,同类相食
pickin,采摘
c4,c4
reluctance,不情愿
embroidered,绣花
nome,诺姆
sia,西亚
gimp,瘸子
whitmore,惠特莫尔
breeder,饲养员
jafar,贾法尔
margherita,玛格丽塔
sizzle,嘶嘶声
reflective,反光的
inger,英格
condemning,谴责
endgame,残局
boathouse,船库
chilton,奇尔顿
manageable,易于管理的
disintegrate,瓦解
ethereal,空灵的
brimstone,硫磺
preferences,偏好
cookin,做饭
phonograph,留声机
workload,工作量
ho-ho-ho,嗬嗬嗬
gautam,高塔姆
credited,记入
evading,逃避
mouthpiece,喉舌
farmland,农田
fouled,犯规
eights,八人制
carnations,康乃馨
scissor,剪刀
sponsoring,赞助
farrah,法拉
hairless,无毛的
defenceless,毫无防备的
narcissist,自恋者
reappear,再现
undisturbed,不受干扰的
bittersweet,苦乐参半
tusk,獠牙
memoir,回忆录
plunging,暴跌
alaric,阿拉里克
lawns,草坪
manta,蝠鲼
concorde,协和式飞机
pleads,恳求
iranians,伊朗人
regulated,受监管的
compadre,朋友
arming,武装
sarin,沙林
prowler,徘徊者
antwerp,安特卫普
armadillo,犰狳
tanked,坦克
whisperer,窃窃私语者
magpie,鹊
wealthiest,最富有的
sig,信号
halliwell,哈利韦尔
sedation,镇静
ljust,我只是
ayesha,阿耶莎
impersonate,模仿
fabrication,制造
mediocrity,平庸
zapata,萨帕塔
crafted,精雕细琢的
nog,木栓
suppressing,抑制
metric,公制
scurvy,坏血病
yukon,育空地区
photocopy,影印本
impromptu,即兴
fable,寓言
alterations,改变
striptease,脱衣舞
attentions,注意事项
crunches,仰卧起坐
chae,蔡
pryce,普莱斯
felton,费尔顿
printers,打印机
coating,涂层
rims,轮辋
salamander,蝾
succubus,魅魔
seatbelts,安全带
rotary,旋转式
maxime,马克西姆
château,城堡
mirza,米尔扎
huddled,挤成一团
t-rex,霸王龙
frm,弗罗姆
six-month,六个月
vulcans,瓦肯人
undermining,破坏
racking,货架
soliciting,拉客
repetitive,重复的
lighted,点燃的
parma,帕尔马
daniella,丹妮拉
barracuda,梭鱼
conga,康加舞
mizuno,美津浓
shimizu,清水
bumble,笨拙
shined,闪闪发光
liberator,救星
hyeon,贤
tillman,蒂尔曼
kiera,基拉
misbehave,行为不端
incarnation,化身
stupendous,惊人的
whereby,由此
pouting,噘嘴
decked,装饰的
virgo,处女座
forthat,为此
diddle,诈骗
scour,冲刷
lidocaine,利多卡因
fatality,死亡
pinning,固定
cobalt,钴
rudely,粗鲁地
jailhouse,监狱
restrict,限制
amuses,逗乐
ducats,金币
enthusiast,爱好者
chronicles,编年史
scorpius,天蝎座
interactive,交互的
happend,发生了
kooky,古怪的
shih,施
devouring,吞噬
emancipation,解放
rourke,洛克
alaskan,阿拉斯加
headman,头人
harmonious,和谐
noi,诺伊
0n,0n
infiltration,浸润
hothead,性急的
midas,迈达斯
wholeheartedly,竭诚
gugu,咕咕
erwin,埃尔文
kaitlin,凯特琳
hepburn,赫本
classrooms,教室
leia,莱娅
bulging,鼓胀的
rousing,振奋人心的
a-are,阿雷
wherefore,因此
pulpit,讲坛
monogamy,一夫一妻制
craftsmen,工匠
harv,哈夫
linens,亚麻布
ere,埃雷
ladybug,瓢虫
pooping,拉屎
steered,驾驶
aimlessly,漫无目的地
calendars,日历
40-year-old,40岁
firefight,交火
kohl,科尔
ijust,我只是
re-you,重新你
wynonna,维诺纳
grog,烈酒
purged,清除的
lukewarm,温
ultraman,奥特曼
will-,将要-
minion,奴才
dissection,解剖
advisers,顾问
demeanor,风度
archaic,古式的
sentient,有知觉的
lazar,拉扎尔
uninhabited,无人
falter,动摇
yourfather,你的父亲
reactors,反应堆
realistically,现实地
windscreen,挡风玻璃
destinations,目的地
fremont,弗里蒙特
louisville,路易斯维尔
paulina,保利娜
iceman,冰人
thrift,节约
opie,鸦片
uploading,上传中
fast-paced,快节奏的
mcgrath,麦格拉斯
shoveling,铲
eee,伊伊
sideline,副业
fathered,父亲
creeper,苦力怕
dade,达德
waltzing,华尔兹
rackets,球拍
broots,布罗茨
stryker,斯赛克
eppes,埃佩斯
hush-hush,嘘嘘
shel,谢尔
smythe,斯迈斯
posterior,后部
disbarred,被取消律师资格
disconnects,断开连接
disappearances,失踪
snapper,鲷鱼
stace,斯塔斯
unveil,揭幕
delko,德尔科
gr,格
wheezes,喘息声
trailers,拖车
willed,愿意
inspecting,检查
tote,手提包
caro,卡罗
autonomy,自治
warring,交战
vetted,经过审查
mnh,明尼苏达州
cronies,亲信
whiter,更白
felons,重罪犯
dysentery,痢
binky,宾基
nous,诺斯
nadya,纳迪亚
harcourt,哈考特
chekov,契诃夫
township,乡
lunacy,疯狂
jas,贾斯
vegeta,贝吉塔
insistence,坚持
handwritten,手写的
crusades,十字军东征
feline,猫科动物
westinghouse,西屋公司
rami,拉米
pasa,帕萨
chrissie,克莉丝
tuan,团
mindful,正念的
alla,阿拉
oona,奥纳
bacchus,巴克斯
footwear,鞋类
overture,序曲
i-is,我是
tolliver,托利弗
mcleod,麦克劳德
aussie,澳元
freda,弗雷达
drowsy,昏昏欲睡
fluorescent,荧光
pretender,伪装者
sawmill,锯木厂
shunned,回避
lt,其
konrad,康拉德
frauds,欺诈
cemeteries,墓地
bhavani,巴瓦尼
nutmeg,肉豆蔻
buggered,被操的
turquoise,绿松石
correlation,相关性
pinkerton,平克顿
morning,早晨
conning,欺骗
aversion,厌恶
recommends,推荐
mongoose,猫鼬
kaput,卡普特
powerhouse,发电站
excavated,挖掘出来的
gripping,扣人心弦
derelict,废弃的
marshes,沼泽地
overturn,颠覆
embodiment,实施例
twila,特伊拉
rapunzel,长发公主
hatching,孵化
jamison,贾米森
elwood,埃尔伍德
bathhouse,澡堂
lends,借出
circuitry,电路
hideaway,隐匿处
mcnulty,麦克纳尔蒂
25-year-old,25岁
eames,埃姆斯
lingers,徘徊
livingston,利文斯顿
confederacy,同盟
terrify,吓坏
inaccessible,难以接近的
catwalk,走秀
tater,塔特
tots,小孩
darkroom,暗室
visuals,视觉效果
sikes,赛克斯
carvings,雕刻品
lorena,洛雷娜
our,我们的
depict,描绘
spaceman,太空人
nuremberg,纽伦堡
aquatic,水
anvil,砧
mediation,调解
avenues,大道
baroque,巴洛克式的
lahore,拉合尔
systolic,收缩压
harms,危害
maximize,最大化
jangle,争吵
messer,梅塞尔
headin,标题
tweedle,特威德尔
mariachi,流浪乐队
larrabee,拉拉比
tournaments,锦标赛
booby-trapped,诱杀装置
kes,凯斯
ventures,企业
belize,伯利兹
cheney,切尼
saltwater,咸水
cesspool,化粪池
salve,药膏
hazing,欺辱
nudist,裸体主义者
melancholic,忧郁的
futon,蒲团
westchester,威彻斯特
bestseller,畅销书
hangout,挂出
arbor,乔木
thermostat,恒温器
picturesque,如画
castrated,被阉割的
ambience,环境
entirety,整体
before-,前-
enabling,使能
olds,老人
leisurely,悠闲
hella,海拉
deposed,废黜的
opted,选择了
pickings,采摘
pivotal,关键的
mis,错误
loafer,浪子
congressmen,国会议员
round,圆形的
genital,生殖器
signaling,信令
unis,大学
flog,鞭打
austrians,奥地利人
so-and-so,某某
sleepin,睡觉
als,阿尔斯
surfboard,冲浪板
sil,锡尔
preserves,果酱
gripped,抓住
co-pilot,副驾驶
accelerant,促进剂
satya,萨蒂亚
incubator,孵化器
nigerian,尼日利亚人
hey-,嘿-
arty,附庸风雅的
houseboat,船屋
seminars,研讨会
mohawk,莫霍克族
caressing,爱抚
gaz,天然气
capricorn,摩羯座
konstantin,康斯坦丁
vaccinated,已接种疫苗
footwork,步法
promiscuous,淫乱
flagpole,旗杆
hinge,合页
alyosha,阿廖沙
methinks,我认为
pave,铺平
miko,巫女
grouse,松鸡
clipboard,剪贴板
swahili,斯瓦希里语
gennaro,根纳罗
jot,记下
electrified,带电
carlito,卡利托
ders,德斯
mugger,抢劫犯
chiropractor,脊椎按摩师
nutcracker,胡桃夹子
shortened,缩短了
hogging,霸占
confound,混淆
tundra,苔原
you`ll,你会
chickened,鸡鸡
megaphone,扩音器
ramses,拉美西斯
blindsided,措手不及
incite,煽动
caption,标题
tackling,对付
iraqis,伊拉克人
unjustly,不公正地
8-year-old,8岁
turds,粪便
awkwardly,尴尬地
dispensary,药房
julián,朱利安
demonstrators,示威者
catdog,猫狗
lock-up,锁定
bod,身体
clung,紧贴
extracurricular,课外
renovating,装修
cyst,囊肿
soufflé,舒芙蕾
perchance,或许
abbs,阿布斯
illustrations,插图
dismembered,肢解
first-degree,一级
laughable,可笑的
lemur,狐猴
balances,余额
cato,卡托
hangers,衣架
unification,统一
civilisations,文明
vilma,维尔马
porterhouse,波特豪斯
prob,问题
cabana,小屋
leipzig,莱比锡
budgets,预算
orry,奥里
collarbone,锁骨
reeds,芦苇
lithuania,立陶宛
somerset,萨默塞特
fernanda,费尔南达
dynamo,发电机
jarrod,贾罗德
sponsorship,赞助
familiarity,熟悉度
piñata,皮纳塔
hakim,哈基姆
bogged,陷入困境
boudoir,闺房
housemaid,保姆
crayon,蜡笔
pfeiffer,菲弗
perrin,佩兰
hinted,暗示
large-scale,大规模
pom,聚甲醛
frustrations,挫折
motif,主题
shipwrecked,遭遇海难
transformers,变形金刚
caligula,卡利古拉
pullman,普尔曼
hanne,汉内
omens,预兆
suis,猪
extremities,四肢
deduce,推断
popov,波波夫
dwells,居住
unplugged,拔掉插头
seaboard,海岸
nishi,西
publications,出版物
self-help,自助
druids,德鲁伊
pedicure,修脚
déjà,似曾相识
pym,皮姆
apophis,阿波菲斯
falcone,法尔科内
actually-,实际上-
gul,古尔
yui,唯
finalize,敲定
mounts,坐骑
overdone,过头了
assorted,什锦
varun,瓦伦
tubs,浴缸
whitley,惠特利
finalized,最终确定的
superstars,超级巨星
immaterial,无形的
stainless,防锈的
disinfectant,消毒剂
damning,该死的
whitehead,怀特海德
storybrooke,故事溪
mope,忧郁
anchorage,锚地
loom,织布机
kinetic,动力学
turnips,萝卜
foothold,立足点
chlamydia,衣原体
crème,奶油
fifties,五十年代
krystal,水晶
ashby,阿什比
umberto,翁贝托
webs,网
cavities,空洞
down-,向下-
mormons,摩门教徒
postage,邮资
rothschild,罗斯柴尔德
s-,s-
dreading,害怕的
doolittle,杜利特尔
captivated,着迷的
yeah,是的
saddened,悲伤的
trolling,拖钓
capitalists,资本家
gruntlng,咕噜声
shea,乳木果油
cyndi,王心凌
hoes,锄头
signify,表示
nucky,努基
myles,迈尔斯
dips,下降
dimple,酒窝
bannerman,旗人
holliday,霍利迪
ascended,上升的
tidied,整理过的
shrouded,笼罩着
alienated,疏远的
wop,沃普
childs,孩子们
satoshi,聪
debit,借方
newsstand,报摊
akemi,明美
bodie,博迪
lovey,可爱的
molding,成型
mays,梅斯
mouth-to-mouth,口对口
harlow,哈洛
monotonous,单调
symposium,座谈会
grasped,抓住了
displacement,位移
barnabas,巴拿巴
1ahff,1小时
blackburn,布莱克本
competence,权限
saiyan,赛亚人
sniffed,闻了闻
midlife,中年
zit,青春痘
sorry-,对不起-
djaro,贾罗
advisable,可取的
t-don,t-don
suzette,苏塞特
sienna,赭色
scribbling,乱写乱画
skateboarding,滑板
feats,功绩
madder,茜草
undermined,被破坏的
cinematic,电影般的
overpriced,价格过高
ephraim,以法莲
whimper,呜咽
parishioners,教区居民
self-destructive,自我毁灭的
hungarians,匈牙利人
tapioca,木薯粉
ry,里
slumming,贫民窟
effie,艾菲
homely,家常的
vineyards,葡萄园
ec,欧共体
vics,维克斯
heathcliff,希斯克利夫
spartans,斯巴达人
well-dressed,衣冠楚楚
crapper,废话
enslave,奴役
cocked,翘起
megazord,巨型佐德
bucking,弯曲
repellent,驱避剂
langford,兰福德
perched,栖息
paraguay,巴拉圭
flabby,松弛
defiled,被玷污的
dolce,多尔切
choosy,挑剔的
narcotic,麻醉剂
11-year-old,11岁
battalions,营
motorcade,车队
kelley,凯利
beaks,喙
tomás,托马斯
t-minus,t-减
sleek,光滑
vividly,生动地
koch,科赫
judi,朱迪
classification,分类
esquire,绅士
nitrous,亚硝酸盐
vouchers,优惠券
cascade,级联
frees,自由
shabbat,安息日
winona,薇诺娜
walled,有围墙的
wagging,摇摆
mew,喵喵
regrettably,遗憾的是
unsuitable,不适合
esperanza,埃斯佩兰萨
winger,边锋
injun,印第安人
dented,凹陷的
remodeling,改造
heroics,英雄事迹
rie,里
evaporate,蒸发
cramer,克拉默
withdrawals,提款
easton,伊斯顿
economically,经济上
eloping,私奔
gilroy,吉尔罗伊
blogs,博客
dunkirk,敦刻尔克
carpenters,木匠
bleeps,嘟嘟声
mookie,穆基
fib,谎言
hoarse,嘶哑
recognizable,可识别的
oldie,老歌
pardons,赦免
seawater,海水
dwellers,居民
from-,从-
home-made,自制
pelham,佩勒姆
fusco,富斯科
everglades,大沼泽地
crowding,拥挤
wetting,润湿
fizz,嘶嘶声
manifests,体现
overdid,做得过头了
kinch,金奇
roomie,室友
ofthat,的那个
haircuts,理发
myriad,无数
confounded,困惑的
faruk,法鲁克
cupboards,橱柜
subconsciously,潜意识里
catchphrase,口号
agility,敏捷
panzer,装甲车
ir,红外
supple,柔软的
winery,酒厂
filippo,菲利波
inflate,膨胀
pane,窗格
rodolfo,鲁道夫
flamenco,弗拉门戈
trachea,气管
rakesh,拉凯什
mph,英里/小时
kinney,金尼
domesticated,驯化的
molded,模制的
hardball,强硬的
reena,雷纳
eveyone,每个人
consenting,同意
reston,雷斯顿
repugnant,令人厌恶的
oates,奥茨
corrupting,腐败
flocks,羊群
gunnery,炮术
devotee,奉献者
ails,疾病
stepan,斯捷潘
ester,酯
entrails,内脏
keepsake,纪念品
dahl,达尔
versed,精通
two-man,两人
mycroft,麦克罗夫特
foundry,铸造厂
fido,菲多
wordy,罗嗦的
formaldehyde,甲醛
prepaid,预付费
chit-chat,闲谈
gesundheit,格森德海特
villager,村民
orhan,奥尔罕
reassurance,放心
outcomes,结果
bitte,比特
trillions,数万亿
liquidate,清算
cheaply,便宜地
niklas,尼克拉斯
romi,罗米
drax,德拉克斯
kilt,短裙
judea,朱迪亚
bigot,偏执狂
hayashi,林
autonomous,自主
unbroken,完整的
osbourne,奥斯本
awry,歪曲的
radley,拉德利
alternating,交替
ontario,安大略省
spooks,幽灵
detach,分离
coax,哄
lorenz,洛伦兹
volker,沃尔克
mumbo,胡言乱语
cr,铬
tilted,斜
outnumber,数量多于
preceded,之前
morph,变形
bedbugs,臭虫
zillion,无数
hopin,霍平
allahu,安拉胡
batmobile,蝙蝠车
cometh,来吧
self-preservation,自我保护
distinguishing,区分
goya,戈雅
lashing,鞭打
veiled,含蓄
freshness,新鲜
his,他的
matsumoto,松本
commissary,小卖部
kalle,卡勒
sorrowful,悲伤
drab,单调
accommodating,包容的
springsteen,斯普林斯廷
tonino,托尼诺
tweezers,镊子
chuen,泉
sternum,胸骨
debacle,崩溃
cellars,地窖
ariadne,阿里亚德涅
knowed,知道
fastball,快球
chopra,乔普拉
sown,播种
sunsets,日落
impractical,不切实际的
reputations,声誉
morsel,一点
nymph,若虫
god-fearing,敬畏上帝
gleason,格里森
zora,佐拉
manuals,手册
subatomic,亚原子的
exonerated,被无罪释放
nawab,纳瓦布
bettie,贝蒂
letterman,莱特曼
roughed,粗加工的
sima,司马
gutierrez,古铁雷斯
musically,音乐上的
ethiopian,埃塞俄比亚
self-sufficient,自给自足
junko,纯子
samar,萨马岛
satoru,悟
healey,希利
sandal,凉鞋
you-know-who,神秘人
fabrizio,法布里齐奥
monterey,蒙特雷
yada,雅达
bapu,巴普
fletch,箭羽
disillusioned,幻灭的
karol,卡罗尔
befriended,结为朋友
enticing,诱人的
gloating,幸灾乐祸
gust,阵风
lubricant,润滑剂
sergeants,军士
hymie,海米
ibn,伊本
overdosed,服药过量
simulations,模拟
soren,索伦
pivot,枢
makings,气质
insecurities,不安全感
eldridge,埃尔德里奇
martyrdom,殉难
ultron,奥创
apologising,道歉
craves,渴望
wilshire,威尔希尔
bequeath,遗赠
clacks,嘎嘎声
halted,停止了
irritation,刺激
som,索姆
smarty,聪明的
cafes,咖啡馆
divides,划分
uri,乌里
apu,阿普
pandas,熊猫
incantation,咒语
compels,强迫
rams,公羊
alphabetical,按字母顺序排列的
bavarian,巴伐利亚的
amputated,截肢的
rebelling,叛逆的
duckula,杜古拉
empties,空了
ascending,上升
habitable,适合居住的
blackened,变黑的
kevlar,凯夫拉尔
improvising,即兴发挥
photoshop,Photoshop
tome,大部头书
juana,胡安娜
cami,卡米
uruguay,乌拉圭
leniency,宽大
crepe,绉
rendition,演绎
margaux,玛歌
archimedes,阿基米德
crenshaw,克伦肖
messed-up,搞砸了
squishing,压扁
fingered,指状的
coffers,金库
offset,抵消
educating,教育
slugger,重击手
1940s,20世纪40年代
gpa,平均绩点
viscount,子爵
forty-eight,四十八
unanimously,一致地
jabbar,贾巴尔
leapinlar,跳跃
gentleness,温柔
drizzle,细雨
pontiac,庞蒂亚克
serpents,蛇
runner-up,亚军
impacted,受影响的
meager,微薄
nappies,尿布
insurrection,起义
ely,伊利
replicators,复制基因
gargoyle,石像鬼
kerr,克尔
seclusion,隔离
reroute,改道
cyclist,骑自行车的人
incarnate,体现
congratulating,祝贺
besieged,被围困
wicket,便门
incinerator,焚化炉
epitome,缩影
cutthroat,残酷的
esp,特别是
millimeters,毫米
tranny,变性人
moonlit,月光下
sor,索尔
elin,艾琳
tano,塔诺
chica,奇卡
impudence,厚颜无耻
precedence,优先级
heaving,起伏
shirin,希林
kala,卡拉
doa,多阿
dominguez,多明格斯
diff,差异
basing,立足
cadence,节奏
davide,大卫
fleed,逃跑
tae-kyung,泰京
ulrik,乌尔里克
wesson,韦森
ied,简易爆炸装置
estrogen,雌激素
severide,塞韦莱德
guilders,荷兰盾
jørgen,约尔根
yoshio,吉夫
vermouth,苦艾酒
obeys,服从
nazir,纳齐尔
dissolving,溶解
akane,茜
ght,正确
forthis,为了这
trashing,扔垃圾
all-nighter,通宵达旦
presumption,假定
temps,临时
falk,福尔克
braves,勇敢者
goosebumps,起鸡皮疙瘩
inhalation,吸入
gnawing,啃咬
economist,经济学家
brung,布隆
ohm,欧姆
jesús,耶稣
tractors,拖拉机
gohan,悟饭
emp,雇员
adiós,再见
arduous,艰巨
consortium,财团
starred,已加星标
ludlow,勒德洛
althea,木槿花
dandelion,蒲公英
raspberries,覆盆子
netflix,Netflix
goalkeeper,守门员
seamen,海员
impounded,被扣押
validity,有效性
rappers,说唱歌手
desi,德西
sockets,插座
skeeter,斯基特
realist,现实主义者
iga,伊加
households,家庭
masculinity,男子气概
disappointments,失望
stiffs,僵硬的
quiver,颤动
envisioned,设想的
kwok,郭
corleone,柯里昂
acrobat,杂技演员
bubs,巴布斯
peripheral,周边
niro,尼罗
dabble,玩水
leng,冷
sweatpants,运动裤
twine,缠绕
misinformed,被误导
flemish,弗拉芒语
rpg,角色扮演游戏
mishra,米什拉
ackerman,阿克曼
allure,引诱
impediment,障碍
malory,马洛里
hone,磨练
assassinations,暗杀
d-don,d-don
cicely,西塞利
disrespecting,不尊重
choy,蔡
shaq,沙克
rev.,修订版
calloway,卡洛韦
spares,备件
psychoanalysis,精神分析
giddyup,吉迪厄普
salman,萨尔曼
reminisce,回忆
cajun,卡津
merlot,梅洛
nita,尼塔
retards,迟缓
ulla,乌拉
need-to-know,需要知道
televised,电视转播的
milano,米兰
best-selling,最畅销的
doctored,被篡改的
scorch,烧焦
saskia,萨斯基亚
doesn`t,没有
bingum,宾古姆
guzman,古兹曼
on-site,现场
pioneering,开拓
pinhead,针头
flashbacks,闪回
anika,阿尼卡
hoard,囤
brewed,酿造的
squandered,挥霍的
predecessors,前辈
seward,苏厄德
telemetry,遥测
noa,诺亚
masao,正夫
primordial,原始的
botany,植物学
strategist,战略家
fluctuations,波动
prat,普拉特
morten,莫滕
chucking,夹紧
hennessy,轩尼诗
allende,阿连德
apprehensive,忧虑
highlander,高地人
camaraderie,友情
precipice,悬崖
caliph,哈里发
sodding,草皮
i.q.,智商
intrigues,阴谋
misuse,滥用
oj,橙汁
tripled,三倍
relays,继电器
inherently,本质上
violette,紫罗兰
inexpensive,便宜的
cushy,舒适的
